iter	Logloss
0	0.6905543267
1	0.6883269087
2	0.685828350733	0.683583835244	0.6819356497
5	0.679334778
6	0.6772470131
7	0.6753935513
88	0.674400132
9	0.6729497007
10	0.6714070251
11	0.6698840932112	0.6684125608113	0.6666576711114	0.6654547051115	0.6639578116116	0.6626182617117	0.6611055118	0.6598652805
19	0.6585683006
20	0.6574040232
21	0.6565769599
22	0.6554155994
23	0.6544409829
24	0.6534228969
25	0.6523802689
26	0.6512263444
27	0.6503137769
28	0.6495005118
29	0.6486602302
3030	0.6469470483131	0.64608996132	0.6461274216
333	0.6457898466334	0.645069478935	0.6439779986
36	0.6432421143
37	0.6425703796
38	0.6418900017
39	0.6410867115
40	0.6405488435
41	0.639894812
42	0.6392484742
43	0.6387288678
44	0.6382127152
45	0.6376573545
46	0.6370234704
47	0.6363483764
48	0.6358636478
49	0.6352385916
50	0.6346911396
51	0.6340725744
52	0.6336052353
53	0.6330159892
54	0.6325189917
55	0.63202385
56	0.6313817952
57	0.6309626554
58	0.6305237203
59	0.6299685014
60	0.6295511272
61	0.6290440431
62	0.6285375346
63	0.628143375
64	0.627710845
65	0.6272017419
66	0.6267468693
67	0.6262933843
68	0.6258283521
69	0.6253683631
70	0.6248840169
71	0.6244714282
72	0.6240993835
73	0.6237127115
74	0.6233384287
75	0.6229151133
76	0.6226114582
77	0.6222816416
78	0.6217598872
79	0.6214077022
80	0.6211230519
81	0.6208114323
82	0.6204662667883	0.6200833235884	0.6197777224885	0.6193837991886	0.6191294301887	0.618842301188	0.6173092009
89	0.6170002233
90	0.6166838569
91	0.6163464366
92	0.6160289489
93	0.6156717635
94	0.6154029906
95	0.6150654071
96	0.614823801
97	0.6145030271
98	0.6142680151
99	0.613972999
100	0.6136283875
101	0.6132573609
102	0.6129716839
103	0.6125739158
104	0.6122607841
105	0.6119586799
106	0.6116963893
107	0.6114265897
108	0.6111424506
109	0.6108779692
110	0.6105800663
111	0.6102293161
112	0.6099784482
113	0.6097751351
114	0.6095719337
115	0.6093296661
116	0.6090621347
1117	0.60944135771118	0.6091551867
119	0.6089158488
120	0.6087205346
121	0.6084292472
122	0.6082240483
