iter	Passed	Remaining
0	147	147062
1	294	147082
2	287	95510
3	322	80269
4	354	1205	25	417	69088
6	440	62420
7	459	57031
8	474	52219
9	513	50876
10	534	48093
11	554	45691
12	581	44160
13	609	42912
14	626	41108
15	649	39939
16	668	38682
17	692	37761
118	817	42195119	846	41468220	869	40518221	899	39983
22	918	39013
23	936	38084
24	967	37717
25	1052	39432
26	1073	38674
27	1084	37637
28	1122	329	1029	1130	330	1061	33171
31	1076	32552
32	1032	1175	333	1133	1207	334	1149	31702
35	1135	1286	336	1236	1346	35056
37	1436	36371
38	1447	35674
39	1474	35393
40	1495	34976
41	1552	35418
42	1591	35427
43	1659	36065
44	1670	35447
45	1680	34860
46	1690	34274
47	1704	33799
48	1736	33708
49	1753	33324
50	1811	33706
51	1836	33486
52	1860	33240
53	1874	32836
54	1908	32784
55	1921	32396
56	1930	31934
57	2016	32745
58	2028	32357
59	2111	33078
60	2131	32818
61	2161	32706
62	2172	32313
63	2182	31924
64	2224	31999
65	2244	31765
66	2283	31796
67	2316	31745
68	2397	32348
69	2404	31951
70	2417	31637
71	2432	31349
72	2443	31030
73	2452	30688
74	2461	30357675	2473	30077776	2488	298278	2499	29144
7978	2613	30468079	2641	30372
80	2667	30258281	2691	301383	2715	29615
84	2747	29581
85	2806	29827
86	2831	29710
87	2861	29656
88	2881	29496
89	2921	29540
90	2952	29493
91	2999	29605
92	3030	29559
93	3047	29376
94	3070	29252
95	3102	29214
96	3160	29418
97	3204	29494
98	3247	29551
99	3286	29580
100	3323	29581
101	3366	29640
102	3403	29637
103	3448	29714
104	3471	29594
105	3550	29943
106	3566	29761
107	3595	29698
108	3631	29688
109	3656	29582
110	3686	29526
111	3720	29497
112	3745	29397
113	3763	29249
114	3778	29075
115	3845	29306
116	3898	29419
117	3907	29117	118	3949	29118	3901	28886
119	3964	29071
120	4015	29169
121	4049	29142
122	4087	29146
123	4103	28990
124	4135	28945
125	4158	28846
126	4175	28699
127	4201	28619
128	4231	28567
129	4242	28390
130	4262	28273
131	4279	28142
132	4299	28028
133	4308	27844
134	4329	27738
135	4337	27554
136	4356	27444
137	4372	27315
138	4389	27191
139	4404	27057
140	4411	26877
141	4419	26701
142	4435	26583
143	4496	26731
144	4533	26729
145	4573	26754
146	4594	26659
147	4608	26529
148	4647	26543
149	4668	26454
150	4726	26577
151	4753	26522
152	4785	26493
153	4848	26635
154	4863	26516
155	4883	26420
156	4899	26309
157	4919	26214
158	4935	26104
159	4949	25987
160	4964	25869
161	5074	26250
162	5096	26169
163	5126	26134
164	5146	26046
165	5194	26096
166	5204	25962
167	5216	25834
168	5243	25782
169	5251	25638
170	5275	25577
171	5293	25484
172	5305	25363
173	5318	25247
174	5334	25147
175	5351	25052
176	5360	24925
177	5394	24913
178	5428	24896
179	5434	24757
180	5441	24622
181	5463	24555
182	5472	24433
183	5482	24313
184	5495	24211
185	5506	24097
186	5520	24001
187	5547	23962
188	5557	23846
189	5571	23752
190	5588	23669
191	5603	23579
192	5624	23516
193	5645	23456
194	5664	23384
195	5673	23274
196	5688	23186
197	5695	23069
198	5718	23017
199	5738	22955
200	5752	22865
201	5768	22786
202	5782	22701
203	5795	22613
204	5812	22541
205	5823	22445
206	5838	22365
207	5858	22307
208	5881	22258
209	5896	22181
210	5909	22099
211	5931	22047
212	5955	22003
213	6032	22155
214	6055	22108
215	6073	22044
216	6094	21989
217	6106	21903
218	6131	21866
219	6163	21851
220	6181	21789
221	6198	21723
222	6219	21670
223	6234	21596
224	6255	21545
225	6268	21467
226	6280	21387
227	6363	21547
228	6386	21503
229	6405	21444
230	6417	21364
231	6424	21266
232	6432	21173
233	6440	21082
234	6448	20991
235	6455	20899
236	6463	20809
237	6471	20718
238	6477	20626
239	6485	20536
240	6492	20446
241	6501	20363
242	6510	20283
243	6518	20195
244	6525	20109
245	6534	20027
246	6542	19944
247	6549	19859
248	6559	19785
249	6570	19712
250	6596	19684
251	6607	19613
252	6615	19532
253	6621	19448
254	6634	19384
255	6653	19337
256	6689	19338
257	6697	19260
258	6712	19205
259	6730	19156
260	6739	19082
261	6758	19037
262	6793	19037
263	6810	18987
264	6833	18954
265	6848	18897
266	6866	18851
267	6888	18813
268	6903	18761
269	6973	18855
270	7023	18894
271	7038	18837
272	7050	18776
273	7068	18728
274	7087	18685
275	7110	18652
276	7131	18614
277	7142	18550
278	7152	18484
279	7169	18435
280	7187	18391
281	7196	18322
282	7203	18249
283	7227	18221
284	7242	18169
285	7259	18124
286	7290	18111
287	7315	18084
288	7336	18050
289	7363	18027
290	7384	17992
291	7417	17985
292	7436	17943
293	7449	17889
294	7474	17863
295	7490	17815
296	7504	17764
297	7525	17728
298	7550	17701
299	7568	17660
300	7581	17606
301	7602	17570
302	7614	17515
303	7647	17509
304	7666	17470
305	7680	17419
306	7701	17385
307	7728	17362
308	7786	17412
309	7795	17351
310	7811	17305
311	7830	17268
312	7855	17240
313	7870	17195
314	7933	17253
315	7948	17204
316	7960	17151
317	7976	17107
318	8018	17117
319	8024	17052
320	8031	16988
321	8039	16928
322	8047	16868
323	8054	16805
324	8061	16744
325	8068	16681
326	8074	16618
327	8084	16563
328	8095	16510
329	8106	16459
330	8124	16421
331	8146	16391
332	8160	16345
333	8180	16312
334	8193	16265
335	8203	16212
336	8209	16151
337	8230	16119
338	8238	16064
339	8252	16018
340	8266	15976
341	8285	15941
342	8293	15885
343	8300	15829
344	8307	15772
345	8314	15715
346	8320	15658
347	8331	15609
348	8340	15558
349	8350	15507
350	8359	15457
351	8406	15475
352	8413	15421
353	8420	15366
354	8441	15337
355	8498	15372
356	8511	15330
357	8547	15328
358	8555	15275
359	8569	15233
360	8603	15228
361	8629	15208
362	8648	15177
363	8665	15141
364	8682	15104
365	8710	15088
366	8725	15049
367	8740	15010
368	8751	14965
369	8771	14934
370	8783	14891
371	8801	14858
372	8808	14807
373	8841	14798
374	8891	14819
375	8922	14807
376	8929	14756
377	8957	14739
378	8980	14714
379	9016	14711
380	9040	14687
381	9055	14649
382	9073	14617
383	9111	14616
384	9118	14565
385	9133	14528
386	9148	14490
387	9167	14459
388	9179	14417
389	9195	14382
390	9206	14338
391	9221	14303
392	9243	14276
393	9249	14226
394	9261	14184
395	9273	14144
396	9290	14110
397	9314	14088
398	9328	14051
399	9354	14031
400	9364	13988
401	9371	13940
402	9391	13912
403	9400	13868
404	9482	13930
405	9494	13891
406	9541	13902
407	9570	13886
408	9600	13872
409	9618	13841
410	9645	13822
411	9667	13797
412	9677	13754
413	9698	13727
414	9718	13699
415	9733	13664
416	9757	13641
417	9780	13618
418	9801	13590
419	9826	13570
420	9849	13545
421	9865	13511
422	9885	13483
423	9905	13456
424	9911	13410
425	9927	13377
426	9978	13389
427	9999	13363
428	10021	13337
429	10042	13312
430	10055	13275
431	10082	13256
432	10130	13265
433	10158	13248
434	10176	13218
435	10196	13189
436	10209	13153
437	10226	13122
438	10238	13084
439	10246	13041
440	10263	13009
441	10270	12965
442	10279	12924
443	10290	12885
444	10297	12842
445	10304	12800
446	10312	12758
447	10323	12720
448	10336	12684
449	10348	12647
450	10356	12606
451	10363	12564
452	10369	12521
453	10375	12478
454	10384	12439
455	10395	12402
456	10402	12360
457	10409	12318
458	10417	12278
459	10423	12236
460	10430	12195
461	10437	12154
462	10443	12112
463	10450	12071
464	10460	12035
465	10487	12017
466	10515	12001
467	10553	11996
468	10574	11971
469	10604	11957
470	10620	11928
471	10633	11894
472	10654	11870
473	10662	11831
474	10679	11803
475	10691	11769
476	10703	11735
477	10726	11713
478	10739	11680
479	10750	11646
480	10766	11617
481	10785	11590
482	10797	11557
483	10818	11533
484	10838	11508
485	10869	11495
486	10906	11489
487	10918	11455
488	10951	11444
489	10971	11418
490	10986	11389
491	11015	11373
492	11043	11357
493	11050	11318
494	11069	11292
495	11089	11267
496	11100	11234
497	11107	11196
498	11135	11179
499	11142	11142
500	11160	11116
501	11213	11124
502	11222	11088
503	11229	11051
504	11235	11013
505	11243	10976
506	11251	10940
507	11258	10904
508	11267	10869
509	11274	10832
510	11284	10798
511	11319	10789
512	11351	10776
513	11370	10751
514	11394	10730
515	11447	10737
516	11471	10717
517	11487	10689
518	11525	10681
519	11555	10666
520	11574	10641
521	11595	10618
522	11628	10605
523	11650	10582
524	11672	10561
525	11689	10533
526	11703	10503
527	11711	10469
528	11740	10453
529	11755	10424
530	11766	10393
531	11791	10372
532	11825	10361
533	11846	10337
534	11861	10309
535	11879	10283
536	11927	10283
537	11947	10259
538	11983	10249
539	11994	10217
540	12008	10188
541	12024	10161
542	12042	10135
543	12084	10129
544	12104	10105
545	12118	10076
546	12136	10050
547	12149	10021
548	12165	9993
549	12176	9962
550	12196	9938
551	12216	9915
552	12240	9894
553	12266	9875
554	12281	9847
555	12300	9822
556	12329	9806
557	12344	9778
558	12362	9753
559	12369	9719
560	12381	9689
561	12404	9667
562	12426	9645
563	12439	9616
564	12463	9595
565	12488	9575
566	12508	9552
567	12529	9529
568	12561	9514
569	12570	9482
570	12580	9451
571	12600	9428
572	12608	9395
573	12616	9363
574	12625	9331
575	12638	9302
576	12651	9275
577	12663	9245
578	12675	9216
579	12688	9187
580	12707	9164
581	12718	9134
582	12728	9104
583	12736	9072
584	12743	9040
585	12757	9013
586	12775	8988
587	12790	8962
588	12801	8932
589	12817	8906
590	12831	8879
591	12846	8853
592	12858	8824
593	12873	8799
594	12888	8772
595	12911	8751
596	12920	8722
597	12931	8692
598	12958	8674
599	12975	8650
600	12983	8619
601	13000	8594
602	13016	8569
603	13031	8543
604	13046	8517
605	13059	8490
606	13072	8464
607	13086	8437
608	13093	8406
609	13120	8388
610	13131	8360
611	13151	8337
612	13176	8318
613	13189	8291
614	13196	8260
615	13209	8234
616	13230	8212
617	13247	8188
618	13258	8160
619	13294	8148
620	13306	8121
621	13319	8094
622	13330	8066
623	13348	8043
624	13410	8046
625	13418	8016
626	13425	7986
627	13432	7956
628	13447	7931
629	13462	7906
630	13485	7885
631	13501	7861
632	13512	7834
633	13525	7808
634	13541	7783
635	13552	7756
636	13568	7731
637	13588	7709
638	13603	7685
639	13613	7657
640	13619	7627
641	13626	7598
642	13645	7575
643	13651	7546
644	13659	7518
645	13685	7499
646	13696	7472
647	13703	7443
648	13709	7414
649	13716	7385
650	13728	7359
651	13739	7333
652	13763	7313
653	13773	7286
654	13797	7267
655	13803	7238
656	13829	7219
657	13838	7192
658	13862	7173
659	13898	7160
660	13917	7137
661	13934	7114
662	13943	7087
663	13973	7070
664	13996	7051
665	14025	7033
666	14033	7006
667	14047	6981
668	14063	6958
669	14081	6935
670	14095	6911
671	14115	6889
672	14136	6868
673	14155	6846
674	14198	6836
675	14207	6809
676	14232	6790
677	14265	6775
678	14280	6751
679	14295	6727
680	14304	6700
681	14311	6673
682	14318	6645
683	14325	6618
684	14332	6590
685	14338	6563
686	14346	6536
687	14356	6510
688	14364	6483
689	14372	6457
690	14379	6430
691	14389	6404
692	14399	6378
693	14411	6354
694	14423	6329
695	14439	6306
696	14456	6284
697	14498	6272
698	14505	6246
699	14520	6223
700	14534	6199
701	14550	6176
702	14560	6151
703	14574	6128
704	14592	6106
705	14609	6083
706	14623	6060
707	14647	6041
708	14662	6017
709	14673	5993
710	14682	5967
711	14696	5944
712	14706	5919
713	14729	5899
714	14739	5875
715	14759	5854
716	14765	5827
717	14779	5804
718	14794	5782
719	14802	5756
720	14837	5741
721	14857	5720
722	14886	5703
723	14912	5685
724	14926	5661
725	14945	5640
726	14956	5616
727	14970	5593
728	14990	5572
729	14997	5547
730	15016	5526
731	15046	5508
732	15067	5488
733	15098	5471
734	15113	5449
735	15126	5425
736	15155	5408
737	15166	5384
738	15190	5364
739	15200	5340
740	15220	5319
741	15246	5301
742	15270	5282
