Feature Id,Importances
kw_avg_avg,5.979273280383103
data_channel,5.279111860645687
self_reference_min_shares,4.846804541692977
LDA_00,4.771048899828113
weekday,4.66358100761379
kw_max_avg,4.626901336558807
self_reference_avg_sharess,4.2258059735653495
kw_min_avg,3.9235124735746285
kw_max_max,2.654798509517319
self_reference_max_shares,2.6340120606668815
n_unique_tokens,2.6156310064111876
LDA_01,2.5287800190687917
LDA_04,2.50849359519221
kw_avg_min,2.3988992966047875
LDA_02,2.195170847464443
data_channel_Social Media,2.1400132490262975
kw_avg_max,2.080340663872293
num_imgs,1.9978061265528566
LDA_03,1.9867845086402152
n_non_stop_unique_tokens,1.9470743934630714
